Gyroscope self-test executed 1000 times, average result taken for each axis. (Success under 14)




X = 1.43087 :  Y = -3.15607 :  Z = 0.949977
X = 3.18836 :  Y = -0.797152 :  Z = 2.46994
X = 1.95967 :  Y = -3.091 :  Z = 2.44619
X = 3.6394 :  Y = -0.976105 :  Z = 1.95933
X = 3.85714 :  Y = -0.439247 :  Z = 2.22057
X = 3.43721 :  Y = -3.62786 :  Z = 2.33932
X = 3.91935 :  Y = -1.05745 :  Z = 2.17307
X = 3.04838 :  Y = -1.05745 :  Z = 1.80496
X = 1.92857 :  Y = -2.79817 :  Z = 2.90931
X = 1.75749 :  Y = -3.20488 :  Z = 2.45807
X = 3.60829 :  Y = -1.15506 :  Z = 2.00683
X = 3.31278 :  Y = -1.41535 :  Z = 2.18495
X = 1.97523 :  Y = -2.26131 :  Z = 2.64806
X = 3.4061 :  Y = -1.26894 :  Z = 1.38934
X = 3.76382 :  Y = -0.6182 :  Z = 2.63619
X = 1.80414 :  Y = -3.1398 :  Z = 2.36307
X = 0.933178 :  Y = -3.79054 :  Z = 0.0474989
X = 3.49942 :  Y = -0.244026 :  Z = 1.79308
X = 1.15092 :  Y = -3.59532 :  Z = 1.16372
X = 1.92857 :  Y = -2.7819 :  Z = 0.0356242
X = 3.31278 :  Y = -0.878494 :  Z = 2.39869
X = 3.42165 :  Y = -0.40671 :  Z = 1.88808
X = 1.75749 :  Y = -2.89578 :  Z = 2.69556
X = 0.0777649 :  Y = -1.13879 :  Z = 1.93558
X = 3.34389 :  Y = -1.02491 :  Z = 2.43432
X = 0.0466589 :  Y = -0.341637 :  Z = 2.88556
X = 1.01094 :  Y = -0.471784 :  Z = 0.866854
X = 3.39055 :  Y = -1.46416 :  Z = 2.2087
X = 1.75749 :  Y = -3.83934 :  Z = 1.82871
X = 1.74193 :  Y = -2.57041 :  Z = 2.36307
X = 3.29723 :  Y = -1.07372 :  Z = 2.22057
X = 0.295506 :  Y = -0.3091 :  Z = 2.08995
X = 2.02189 :  Y = -3.38383 :  Z = 1.9237
X = 2.05299 :  Y = -2.55414 :  Z = 2.79056
X = 3.4061 :  Y = -0.927299 :  Z = 1.51996
X = 2.20852 :  Y = -3.49771 :  Z = 2.79056
X = 3.82603 :  Y = -1.04118 :  Z = 2.05433
X = 2.05299 :  Y = -3.30249 :  Z = 2.65994
X = 3.60829 :  Y = -0.780884 :  Z = 1.67434
X = 3.48387 :  Y = -0.829689 :  Z = 2.10183
X = 1.41532 :  Y = -3.091 :  Z = 2.61244
X = 2.05299 :  Y = -2.22877 :  Z = 2.82618
X = 2.19297 :  Y = -2.14743 :  Z = 0.308743
X = 2.39516 :  Y = -2.68429 :  Z = 2.9568
X = 2.75288 :  Y = -2.03355 :  Z = 0.296868
X = 3.62384 :  Y = -0.195221 :  Z = 2.3037
X = 1.78859 :  Y = -2.81443 :  Z = 2.70744
X = 3.81048 :  Y = -0.520589 :  Z = 2.62431
X = 3.4061 :  Y = -0.862226 :  Z = 2.23245
X = 1.80414 :  Y = -2.87951 :  Z = 2.35119
X = 1.91302 :  Y = -2.91205 :  Z = 2.90931
X = 3.59274 :  Y = -0.325368 :  Z = 2.29182
X = 3.4061 :  Y = -1.22013 :  Z = 2.13745
X = 1.91302 :  Y = -2.99339 :  Z = 2.89743
X = 3.49942 :  Y = -0.227758 :  Z = 2.1137
X = 2.98617 :  Y = -1.91967 :  Z = 0.546237
X = 3.81048 :  Y = -0.130147 :  Z = 2.65994
X = 3.23502 :  Y = -1.30147 :  Z = 1.85246
X = 3.59274 :  Y = -0.927299 :  Z = 2.08995
X = 2.19297 :  Y = -2.8307 :  Z = 0
X = 1.77304 :  Y = -3.4001 :  Z = 2.56494
X = 3.34389 :  Y = -1.02491 :  Z = 2.31557
X = 3.35944 :  Y = -0.6182 :  Z = 2.52932
X = 1.8508 :  Y = -3.15607 :  Z = 2.62431
X = 3.71716 :  Y = -0.862226 :  Z = 2.24432
X = 3.35944 :  Y = -0.845957 :  Z = 2.56494
X = 3.03283 :  Y = -1.00864 :  Z = 2.27995
X = 1.0265 :  Y = -3.46517 :  Z = 0.284993
X = 2.6129 :  Y = -1.77326 :  Z = 1.27059
X = 1.64862 :  Y = -3.1398 :  Z = 2.64806
X = 2.39516 :  Y = -2.84697 :  Z = 2.79056
X = 3.56163 :  Y = -0.520589 :  Z = 1.9237
X = 3.84158 :  Y = -0.634468 :  Z = 2.31557
X = 1.71083 :  Y = -3.64412 :  Z = 1.85246
X = 0.015553 :  Y = -0.911031 :  Z = 2.87368
X = 2.97062 :  Y = -1.05745 :  Z = 1.38934
X = 1.63306 :  Y = -3.20488 :  Z = 2.86181
X = 2.79954 :  Y = -1.67565 :  Z = 1.63871
X = 1.50864 :  Y = -0.0488052 :  Z = 1.80496
X = 1.53974 :  Y = -2.8307 :  Z = 1.87621
X = 3.375 :  Y = -0.357905 :  Z = 2.45807
X = 0 :  Y = -0.520589 :  Z = 2.55306
X = 2.13076 :  Y = -3.56278 :  Z = 2.88556
X = 1.86636 :  Y = -3.43263 :  Z = 2.18495
X = 3.53052 :  Y = -0.130147 :  Z = 2.48182
X = 3.28168 :  Y = -1.02491 :  Z = 2.18495
X = 1.86636 :  Y = -3.41637 :  Z = 2.42244
X = 2.84619 :  Y = -1.31774 :  Z = 1.87621
X = 3.57718 :  Y = -0.0976105 :  Z = 2.1137
X = 1.33756 :  Y = -3.4001 :  Z = 2.29182
X = 2.47292 :  Y = -2.8307 :  Z = 2.71931
X = 3.17281 :  Y = -1.02491 :  Z = 2.13745
X = 3.77937 :  Y = -0.0650736 :  Z = 2.63619
X = 1.57085 :  Y = -2.84697 :  Z = 0.0712483
X = 3.6705 :  Y = -0.211489 :  Z = 1.9237
X = 1.78859 :  Y = -2.99339 :  Z = 2.63619
X = 3.6394 :  Y = -0.488052 :  Z = 0.261244
X = 3.12615 :  Y = -0.764615 :  Z = 2.0187
X = 1.33756 :  Y = -3.4489 :  Z = 2.68369
X = 3.46831 :  Y = -0.813421 :  Z = 2.2562
X = 3.84158 :  Y = -0.130147 :  Z = 2.10183
X = 2.89285 :  Y = -2.11489 :  Z = 1.02123
X = 3.12615 :  Y = -1.26894 :  Z = 2.31557
X = 2.06855 :  Y = -2.92831 :  Z = 2.44619
X = 1.95967 :  Y = -2.57041 :  Z = 2.94493
X = 3.96601 :  Y = -0.471784 :  Z = 0.130622
X = 0 :  Y = -0.0650736 :  Z = 0.866854
X = 2.00633 :  Y = -3.30249 :  Z = 2.1137
X = 3.46831 :  Y = -0.862226 :  Z = 1.68621
X = 3.68605 :  Y = -4.0183 :  Z = 2.49369
X = 1.60196 :  Y = -3.07473 :  Z = 2.24432
X = 1.78859 :  Y = -2.14743 :  Z = 0.106872
X = 3.70161 :  Y = -1.26894 :  Z = 2.26807
X = 1.91302 :  Y = -3.17234 :  Z = 3.0043
X = 2.16186 :  Y = -3.15607 :  Z = 2.61244
X = 3.82603 :  Y = -0.732078 :  Z = 2.67181
X = 3.15725 :  Y = -1.02491 :  Z = 2.04245
X = 2.76843 :  Y = -1.15506 :  Z = 1.36559
X = 3.6705 :  Y = -0.878494 :  Z = 2.00683
X = 2.13076 :  Y = -2.84697 :  Z = 2.63619
X = 1.97523 :  Y = -2.81443 :  Z = 2.88556
X = 3.82603 :  Y = -0.667005 :  Z = 2.18495
X = 3.6705 :  Y = -0.357905 :  Z = 2.41057
X = 0.0311059 :  Y = -3.82308 :  Z = 0.0474989
X = 2.27073 :  Y = -2.7819 :  Z = 2.51744
